competition,season,round,date,kickoff_time,home_team,away_team,home_score,away_score,ht_home_score,ht_away_score,winner,home_goals_minutes,away_goals_minutes,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,source_name,source_url,secondary_source_url,collected_at,confidence
Brasileirão Série B,2026,3,2026-04-04,18:00,Cuiabá,Ceará,0,2,,,Ceará,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-04,,Náutico,Ponte Preta,1,0,,,Náutico,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-04,20:00,Vila Nova,Atlético-GO,2,1,1,0,Vila Nova,33|88,65(PEN),17,10,5,4,2.2,1.41,,,,,,,58,42,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-04,20:30,Londrina,Sport,1,2,1,0,Sport,22,67(PEN)|87,13,16,3,4,0.85,2.23,,,,,,,38,62,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-05,16:00,Avaí,Operário-PR,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-05,18:00,Novorizontino,CRB,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-05,20:00,Athletic Club,América-MG,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-05,20:30,Botafogo-SP,São Bernardo,1,2,1,0,São Bernardo,4,49|90,16,13,4,6,1.22,1.62,,,,,,,48,52,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,3,2026-04-06,21:00,Goiás,Criciúma,1,0,,,Goiás,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-10,20:30,Criciúma,Botafogo-SP,1,0,,,Criciúma,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-11,16:00,Juventude,Goiás,2,0,,,Juventude,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-11,18:00,Ponte Preta,Vila Nova,0,1,,,Vila Nova,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-11,,Sport,Avaí,2,2,,,DRAW,,,21,16,10,4,3.24,1.79,,,,,,,59,41,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-11,20:30,Ceará,Náutico,1,0,,,Ceará,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-12,16:00,São Bernardo,Fortaleza,0,1,0,0,Fortaleza,,87,15,17,2,6,1.07,1.46,,,,,,,49,51,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-12,18:00,América-MG,Novorizontino,0,3,,,Novorizontino,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-12,,Operário-PR,Cuiabá,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-12,20:00,CRB,Athletic Club,2,3,,,Athletic Club,,,11,12,6,5,1.53,1.67,,,,,,,49,51,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,4,2026-04-12,20:30,Atlético-GO,Londrina,2,1,,,Atlético-GO,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-18,18:00,América-MG,Sport,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-18,,Náutico,São Bernardo,0,3,,,São Bernardo,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-18,18:30,Vila Nova,Operário-PR,2,1,,,Vila Nova,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-18,20:30,Avaí,Ponte Preta,1,2,,,Ponte Preta,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-18,20:45,CRB,Juventude,0,1,,,Juventude,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-19,16:00,Botafogo-SP,Atlético-GO,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-19,,Londrina,Ceará,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-19,18:00,Goiás,Cuiabá,0,2,,,Cuiabá,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-19,20:00,Fortaleza,Criciúma,3,2,,,Fortaleza,,,14,6,4,3,0.55,0.92,,,,,,,45,55,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,5,2026-04-19,,Novorizontino,Athletic Club,2,1,,,Novorizontino,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-22,21:30,Cuiabá,Botafogo-SP,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-24,20:00,Ponte Preta,América-MG,1,0,,,Ponte Preta,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-25,20:30,Sport,Novorizontino,1,0,,,Sport,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-25,21:00,Juventude,Londrina,1,0,,,Juventude,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-26,16:00,São Bernardo,Goiás,1,0,,,São Bernardo,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-26,18:00,Ceará,Vila Nova,3,3,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-26,,Operário-PR,Fortaleza,0,0,0,0,DRAW,,,21,12,3,2,0.85,0.56,,,,,,,64,36,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-26,20:30,Atlético-GO,Avaí,2,1,,,Atlético-GO,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-26,,Criciúma,CRB,3,1,,,Criciúma,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,6,2026-04-27,19:00,Athletic Club,Náutico,0,1,,,Náutico,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-02,16:00,Botafogo-SP,Náutico,1,1,1,0,DRAW,42,58,10,14,7,3,1.3,0.99,,,,,,,47,53,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-02,18:30,Cuiabá,Criciúma,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-02,20:30,Fortaleza,Goiás,4,1,,,Fortaleza,,,17,10,9,4,1.65,0.79,,,,,,,43,57,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,16:00,Operário-PR,Londrina,3,0,2,0,Operário-PR,5|29|60,,14,10,5,3,1.5,0.4,,,2,5,,,55,45,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,,São Bernardo,Ponte Preta,3,0,,,São Bernardo,,,,,,,1.69,0.56,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,18:00,Sport,Ceará,2,0,,,Sport,,,16,10,5,1,1.99,0.53,,,,,,,45,55,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,18:30,Atlético-GO,Juventude,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,20:30,América-MG,CRB,1,2,,,CRB,,,9,16,4,8,0.84,1.59,,,,,,,44,56,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-03,,Avaí,Novorizontino,3,3,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,7,2026-05-04,19:00,Vila Nova,Athletic Club,1,1,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,16:00,Goiás,Vila Nova,1,0,,,Goiás,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,18:00,Athletic Club,Cuiabá,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,18:30,Ponte Preta,Sport,1,3,,,Sport,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,19:00,Ceará,Atlético-GO,0,1,,,Atlético-GO,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,20:30,CRB,Operário-PR,3,0,,,CRB,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-09,21:15,Juventude,Criciúma,0,0,,,DRAW,,,,,,,,,,,,,,,,,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
Brasileirão Série B,2026,8,2026-05-10,16:00,Náutico,América-MG,4,0,2,0,Náutico,,,18,5,6,0,1.24,0.17,,,,,,1,59,41,"Wikipedia (resultados por rodada, com links BeSoccer)",https://es.wikipedia.org/wiki/Campeonato_Brasile%C3%B1o_de_F%C3%BAtbol_Serie_B_2026,,2026-09-10T14:51:00-03:00,MEDIUM
